intento: 2 tiempo: 0.029 [0.0214634611789235 0.00235578055150694 0.00242934991587105 0.00241344179490393 0.00213922081100242 0.00212829859022989 0.00288152092772674 0.0023926257328061 0.00235344227816798 0.0023044930536932;0.00235578055150694 0.0223835856000863 0.00195185713939189 0.00217907629442767 0.00175244808487906 0.00205539377338973 0.00232140599211889 0.00206411060882238 0.00235241361973921 0.00219451215751686;0.00242934991587105 0.00195185713939189 0.0209613041736504 0.00168197761585806 0.00174554720839611 0.00160170181634404 0.00238265270422379 0.00239567632287678 0.00206069698273766 0.00236352281021126;0.00241344179490393 0.00217907629442767 0.00168197761585806 0.0210927590722523 0.00168111803335681 0.00192515844161343 0.00218618795551024 0.00227546952797261 0.00254826726026529 0.00241947271664873;0.00213922081100242 0.00175244808487906 0.00174554720839611 0.00168111803335681 0.0216436459751284 0.00156029210975475 0.00154256262747551 0.00206015087078991 0.0016744751536188 0.00209335101467866;0.00212829859022989 0.00205539377338973 0.00160170181634404 0.00192515844161343 0.00156029210975475 0.0214912933131729 0.00164570760073749 0.00199558097992187 0.00206248310989527 0.00207937212305812;0.00288152092772674 0.00232140599211889 0.00238265270422379 0.00218618795551024 0.00154256262747551 0.00164570760073749 0.0223065084840582 0.00237986851107164 0.00231849161602988 0.00242786551862777;0.0023926257328061 0.00206411060882238 0.00239567632287678 0.00227546952797261 0.00206015087078991 0.00199558097992187 0.00237986851107164 0.0224229429689912 0.00255995869362531 0.00236727091220358;0.00235344227816798 0.00235241361973921 0.00206069698273766 0.00254826726026529 0.0016744751536188 0.00206248310989527 0.00231849161602988 0.00255995869362531 0.0223223581237339 0.00288042961463432;0.0023044930536932 0.00219451215751686 0.00236352281021126 0.00241947271664873 0.00209335101467866 0.00207937212305812 0.00242786551862777 0.00236727091220358 0.00288042961463432 0.0224153638787396]
intento: 4 tiempo: 0.027 [0.0230439840075104 0.002571958118699 0.00222914448604334 0.00174455103208193 0.00208342771620339 0.00228174481572369 0.0026015790877444 0.00266592606401395 0.00183086667354061 0.00273292720542221;0.002571958118699 0.022540145420155 0.003087122658483 0.00207553854931491 0.00243938443639098 0.00200327993927635 0.00207263671684537 0.00162172032455508 0.00204040760145945 0.00244208153628274;0.00222914448604334 0.003087122658483 0.0229409944556181 0.00219174027098282 0.00237596492972369 0.00249215277674399 0.00249771798269129 0.00205421154458167 0.00216547617979765 0.0028005839325447;0.00174455103208193 0.00207553854931491 0.00219174027098282 0.0230493602127868 0.00210222763515647 0.00163911879050336 0.00206738339149353 0.00177335149120261 0.00216350879446715 0.00216511966119433;0.00208342771620339 0.00243938443639098 0.00237596492972369 0.00210222763515647 0.0223599792250042 0.00238097749491624 0.00210698253516835 0.00262189166115364 0.00166383869914783 0.00285089083370386;0.00228174481572369 0.00200327993927635 0.00249215277674399 0.00163911879050336 0.00238097749491624 0.0225549380768939 0.00249866232875763 0.00268964537278847 0.00231898967646813 0.00237221545296129;0.0026015790877444 0.00207263671684537 0.00249771798269129 0.00206738339149353 0.00210698253516835 0.00249866232875763 0.0223172205563749 0.00181751330273648 0.0019017077936124 0.00283309788699532;0.00266592606401395 0.00162172032455508 0.00205421154458167 0.00177335149120261 0.00262189166115364 0.00268964537278847 0.00181751330273648 0.0226415419639264 0.0019753852654829 0.00260791296353511;0.00183086667354061 0.00204040760145945 0.00216547617979765 0.00216350879446715 0.00166383869914783 0.00231898967646813 0.0019017077936124 0.0019753852654829 0.0223485248247426 0.00252583837382211;0.00273292720542221 0.00244208153628274 0.0028005839325447 0.00216511966119433 0.00285089083370386 0.00237221545296129 0.00283309788699532 0.00260791296353511 0.00252583837382211 0.0237372428302681]
intento: 6 tiempo: 0.027 [0.0217221168445435 0.00178173340401678 0.0022052426941576 0.00237196064121255 0.00170565288906534 0.00225943750929191 0.00212485719564157 0.00244534231932331 0.00230718535088076 0.00275434440606131;0.00178173340401678 0.0208058632612161 0.00230584241175788 0.00247285287607285 0.00232033530364481 0.0016426584670947 0.00236163509572343 0.00225711486878483 0.00265057764227211 0.00179555753968895;0.0022052426941576 0.00230584241175788 0.0209136885696632 0.00221036245237219 0.00193699086618592 0.00133572243720274 0.0019606544963157 0.00188963694293693 0.00211449956202889 0.00160735395812029;0.00237196064121255 0.00247285287607285 0.00221036245237219 0.0216002263275787 0.00212068560617326 0.00278559503965468 0.00233520656319889 0.00262618033859354 0.00227002398534236 0.00259319290905933;0.00170565288906534 0.00232033530364481 0.00193699086618592 0.00212068560617326 0.020940955809652 0.00181589193783566 0.00189255391916584 0.00205006961796733 0.00232523628440083 0.00184853333117041;0.00225943750929191 0.0016426584670947 0.00133572243720274 0.00278559503965468 0.00181589193783566 0.0214248344476421 0.00190366122822099 0.00233417904186245 0.00252282627175236 0.00179271538145616;0.00212485719564157 0.00236163509572343 0.0019606544963157 0.00233520656319889 0.00189255391916584 0.00190366122822099 0.0216116756482734 0.00221881007893265 0.00261645356001903 0.00145900528769956;0.00244534231932331 0.00225711486878483 0.00188963694293693 0.00262618033859354 0.00205006961796733 0.00233417904186245 0.00221881007893265 0.0221140421313844 0.00212894986631135 0.00238514256435537;0.00230718535088076 0.00265057764227211 0.00211449956202889 0.00227002398534236 0.00232523628440083 0.00252282627175236 0.00261645356001903 0.00212894986631135 0.0225386785481039 0.00212475782702179;0.00275434440606131 0.00179555753968895 0.00160735395812029 0.00259319290905933 0.00184853333117041 0.00179271538145616 0.00145900528769956 0.00238514256435537 0.00212475782702179 0.0219384123773561]
intento: 8 tiempo: 0.034 [0.021187984464057 0.00256037030922579 0.00201917870513746 0.00256983492184792 0.00274246280804192 0.00191124932281568 0.00217978581951042 0.00219365886653494 0.00183841265172868 0.00205072394607132;0.00256037030922579 0.0224873157497857 0.00206243282848945 0.00173738007931454 0.00249743520287309 0.00248480221461167 0.00234247110396964 0.00289896917497379 0.00182803400749979 0.00293023210314761;0.00201917870513746 0.00206243282848945 0.0217500748583523 0.00178133162351965 0.00208774026928143 0.00152539484840189 0.00241152523278291 0.00253763876595003 0.00172914707293523 0.00210033066386433;0.00256983492184792 0.00173738007931454 0.00178133162351965 0.0216830700228287 0.00214655145783177 0.00192385060885667 0.00258570322591939 0.00220468005343732 0.00189632563512651 0.00149094084477733;0.00274246280804192 0.00249743520287309 0.00208774026928143 0.00214655145783177 0.0219283049923107 0.00251310656900988 0.0023177318470303 0.00269014036954971 0.0022116508357786 0.00255197663149443;0.00191124932281568 0.00248480221461167 0.00152539484840189 0.00192385060885667 0.00251310656900988 0.0217006176634806 0.0022099488054773 0.00238332484721583 0.00201187421154236 0.00235592993377292;0.00217978581951042 0.00234247110396964 0.00241152523278291 0.00258570322591939 0.0023177318470303 0.0022099488054773 0.0228870641707629 0.0022725814593736 0.00194696204000419 0.00240439508949483;0.00219365886653494 0.00289896917497379 0.00253763876595003 0.00220468005343732 0.00269014036954971 0.00238332484721583 0.0022725814593736 0.0221383288195531 0.00158191306109587 0.00297917301391455;0.00183841265172868 0.00182803400749979 0.00172914707293523 0.00189632563512651 0.0022116508357786 0.00201187421154236 0.00194696204000419 0.00158191306109587 0.021686393743189 0.00156581553859941;0.00205072394607132 0.00293023210314761 0.00210033066386433 0.00149094084477733 0.00255197663149443 0.00235592993377292 0.00240439508949483 0.00297917301391455 0.00156581553859941 0.0219976402697977]
intento: 10 tiempo: 0.027 [0.0219489190421564 0.00266004872273953 0.00243477018103384 0.00218396459138455 0.00158060512221396 0.00221721655926324 0.00142408778606438 0.00229456841702258 0.00232247813080299 0.00227151257393561;0.00266004872273953 0.0216085418062496 0.002122922518064 0.0022855533788868 0.00196362177727092 0.00162512924519251 0.00214111919686077 0.00223038843214983 0.00210162645274228 0.00236902171869883;0.00243477018103384 0.002122922518064 0.0212436649369826 0.00228457380846215 0.00130861471845461 0.0016769499862146 0.00239757958652878 0.00201405374245509 0.00225769354133483 0.00221233062562961;0.00218396459138455 0.0022855533788868 0.00228457380846215 0.021176900928027 0.00187362376435782 0.00149610381882106 0.00241165137600053 0.00174162522872597 0.00225677040950646 0.00261003476595063;0.00158060512221396 0.00196362177727092 0.00130861471845461 0.00187362376435782 0.019817389061727 0.00153556943097983 0.00164716672341985 0.00139651664771028 0.00166284621426507 0.00163683396287875;0.00221721655926324 0.00162512924519251 0.0016769499862146 0.00149610381882106 0.00153556943097983 0.0199906020512602 0.00241251756644205 0.00176767012377633 0.00201216742290647 0.00238074458255668;0.00142408778606438 0.00214111919686077 0.00239757958652878 0.00241165137600053 0.00164716672341985 0.00241251756644205 0.0207423251590356 0.00141089988449924 0.00181402282382518 0.00196163996709958;0.00229456841702258 0.00223038843214983 0.00201405374245509 0.00174162522872597 0.00139651664771028 0.00176767012377633 0.00141089988449924 0.0205292253314954 0.00147553208079237 0.0021630183752828;0.00232247813080299 0.00210162645274228 0.00225769354133483 0.00225677040950646 0.00166284621426507 0.00201216742290647 0.00181402282382518 0.00147553208079237 0.0207690163291853 0.00209854537165269;0.00227151257393561 0.00236902171869883 0.00221233062562961 0.00261003476595063 0.00163683396287875 0.00238074458255668 0.00196163996709958 0.0021630183752828 0.00209854537165269 0.0216399472734478]
intento: 12 tiempo: 0.024 [0.0212970994284992 0.002259032149733 0.00201645449379563 0.0021838706854907 0.00239518766964748 0.00177364024847134 0.00161514043864432 0.00208905453335857 0.00233278330356652 0.0023256488187273;0.002259032149733 0.0219477318290367 0.00206880968068492 0.00260295271903238 0.0020376379656046 0.00285747309824821 0.00266788214140772 0.00254216869377966 0.00257556279150478 0.00274866055600044;0.00201645449379563 0.00206880968068492 0.0211258371599706 0.00193214631736561 0.00207091559063641 0.00215305955790421 0.0016398450680571 0.00203911498563727 0.0022890145251958 0.00186158810282425;0.0021838706854907 0.00260295271903238 0.00193214631736561 0.0224728922539259 0.00254841851078299 0.00228837854088572 0.00209321207014083 0.00172260261337018 0.00212801796851823 0.0020004389800842;0.00239518766964748 0.0020376379656046 0.00207091559063641 0.00254841851078299 0.0216176822743461 0.00156394583728937 0.00189993177690325 0.00177620131530345 0.00177761532739808 0.0024452578677984;0.00177364024847134 0.00285747309824821 0.00215305955790421 0.00228837854088572 0.00156394583728937 0.0209902762520872 0.00136516178169625 0.00177590704747597 0.0022081615927829 0.00204530563236033;0.00161514043864432 0.00266788214140772 0.0016398450680571 0.00209321207014083 0.00189993177690325 0.00136516178169625 0.0217224695865536 0.00209811866318571 0.00227941154643404 0.00215069480270318;0.00208905453335857 0.00254216869377966 0.00203911498563727 0.00172260261337018 0.00177620131530345 0.00177590704747597 0.00209811866318571 0.0216647329922749 0.00242671392104819 0.00249195782495002;0.00233278330356652 0.00257556279150478 0.0022890145251958 0.00212801796851823 0.00177761532739808 0.0022081615927829 0.00227941154643404 0.00242671392104819 0.0226110387811183 0.00271351297913718;0.0023256488187273 0.00274866055600044 0.00186158810282425 0.0020004389800842 0.0024452578677984 0.00204530563236033 0.00215069480270318 0.00249195782495002 0.00271351297913718 0.0218322006703336]
intento: 14 tiempo: 0.031 [0.0220610229005188 0.0026523413219906 0.00223973210471111 0.00211847756357879 0.00252406704322053 0.00243647458445213 0.00240493325510943 0.00241289604006736 0.00246991010022503 0.00250760310011668;0.0026523413219906 0.0216312140652604 0.00161399779518545 0.00209893533068749 0.00236243085613228 0.00230706219137945 0.00247499007648592 0.00159051454401532 0.00185116234213191 0.00257963351835681;0.00223973210471111 0.00161399779518545 0.0223806521987574 0.00201921341976055 0.00270718315368678 0.00255562272677308 0.00251424574701015 0.00263955076727473 0.00225419035278762 0.00217153492892195;0.00211847756357879 0.00209893533068749 0.00201921341976055 0.0226147892524615 0.00175351099179163 0.00144623066242602 0.00156163349753836 0.00209244829748302 0.00173956432869911 0.00233006092191283;0.00252406704322053 0.00236243085613228 0.00270718315368678 0.00175351099179163 0.0224314717739029 0.00224772479400702 0.00292392487674316 0.00277476339609396 0.00200078178883622 0.00258046587721367;0.00243647458445213 0.00230706219137945 0.00255562272677308 0.00144623066242602 0.00224772479400702 0.0220516388106944 0.00175628045360768 0.00236755068440821 0.00262218683474492 0.00226054094124669;0.00240493325510943 0.00247499007648592 0.00251424574701015 0.00156163349753836 0.00292392487674316 0.00175628045360768 0.0221846473705577 0.00216249156687971 0.00280912866053832 0.00200317229223782;0.00241289604006736 0.00159051454401532 0.00263955076727473 0.00209244829748302 0.00277476339609396 0.00236755068440821 0.00216249156687971 0.0226594750180329 0.00206714644832901 0.00280375880190174;0.00246991010022503 0.00185116234213191 0.00225419035278762 0.00173956432869911 0.00200078178883622 0.00262218683474492 0.00280912866053832 0.00206714644832901 0.0220492101283198 0.00224987925313295;0.00250760310011668 0.00257963351835681 0.00217153492892195 0.00233006092191283 0.00258046587721367 0.00226054094124669 0.00200317229223782 0.00280375880190174 0.00224987925313295 0.0225759811652182]
intento: 16 tiempo: 0.031 [0.0208486814031944 0.00220164081090423 0.00206067278422859 0.0018375608688599 0.00202674330186687 0.00226939526126083 0.00162388351964238 0.00186212199005593 0.00205009659978058 0.00222589550925487;0.00220164081090423 0.0208643483034989 0.00243907436419818 0.00206214149698179 0.00182194048480057 0.00188827452856587 0.0022689491586422 0.00246762987484929 0.00237520893793118 0.00220074430297997;0.00206067278422859 0.00243907436419818 0.0206820638493147 0.00184896847331323 0.00156598535727577 0.00163288362102022 0.00236509385161591 0.00219350865357557 0.00171794773879713 0.00166121845628162;0.0018375608688599 0.00206214149698179 0.00184896847331323 0.0205998536058741 0.00175216059987378 0.00153100649927 0.00192358874799323 0.00198945734779469 0.00236454042487887 0.00187590270105583;0.00202674330186687 0.00182194048480057 0.00156598535727577 0.00175216059987378 0.0203240665942395 0.00165407639702817 0.00124727370294685 0.00193519306850663 0.00205293419415084 0.00157988976235326;0.00226939526126083 0.00188827452856587 0.00163288362102022 0.00153100649927 0.00165407639702817 0.0197398093299754 0.00156678085375574 0.00162898697785336 0.0017939027246839 0.00171065989586668;0.00162388351964238 0.0022689491586422 0.00236509385161591 0.00192358874799323 0.00124727370294685 0.00156678085375574 0.0205086589562866 0.00189336271968663 0.00237445772904836 0.00203000562962063;0.00186212199005593 0.00246762987484929 0.00219350865357557 0.00198945734779469 0.00193519306850663 0.00162898697785336 0.00189336271968663 0.0199706916844453 0.0025215113272111 0.00212218310661095;0.00205009659978058 0.00237520893793118 0.00171794773879713 0.00236454042487887 0.00205293419415084 0.0017939027246839 0.00237445772904836 0.0025215113272111 0.0206774502705546 0.00202704512479417;0.00222589550925487 0.00220074430297997 0.00166121845628162 0.00187590270105583 0.00157988976235326 0.00171065989586668 0.00203000562962063 0.00212218310661095 0.00202704512479417 0.0198374048398155]
intento: 18 tiempo: 0.029 [0.0228496966963018 0.00184532947557605 0.00196672701038357 0.00294351698685977 0.00205903202811643 0.0022822697300816 0.00225082497691793 0.00228760228743535 0.00164037325233381 0.00240377214491451;0.00184532947557605 0.0218751430330023 0.00201073684902804 0.00258814824428896 0.00163133238576409 0.0023775170592617 0.00215561099757182 0.00211149472466672 0.00179795826791909 0.00231956221929882;0.00196672701038357 0.00201073684902804 0.0216165321832347 0.00193365069308321 0.00221491306690923 0.00244154491033959 0.00215862694337167 0.00189043290154458 0.00179640000347974 0.00264392374196689;0.00294351698685977 0.00258814824428896 0.00193365069308321 0.0229861808963588 0.00171279414482172 0.00323989343486941 0.00224572047150317 0.0024553561232014 0.00194415094418837 0.00267982895089836;0.00205903202811643 0.00163133238576409 0.00221491306690923 0.00171279414482172 0.0216572997425151 0.00190958206809709 0.00173717193246621 0.00218175047869171 0.0012394056059425 0.00212154715245747;0.0022822697300816 0.0023775170592617 0.00244154491033959 0.00323989343486941 0.00190958206809709 0.0223701611033309 0.00271694880221011 0.00241471080166559 0.00210345175809577 0.00200432429157618;0.00225082497691793 0.00215561099757182 0.00215862694337167 0.00224572047150317 0.00173717193246621 0.00271694880221011 0.0224878427284772 0.00187700519194074 0.00258229764048719 0.00178274471376129;0.00228760228743535 0.00211149472466672 0.00189043290154458 0.0024553561232014 0.00218175047869171 0.00241471080166559 0.00187700519194074 0.0217243412620647 0.00199110595273931 0.00274499435306798;0.00164037325233381 0.00179795826791909 0.00179640000347974 0.00194415094418837 0.0012394056059425 0.00210345175809577 0.00258229764048719 0.00199110595273931 0.0219541128641969 0.00202256155870986;0.00240377214491451 0.00231956221929882 0.00264392374196689 0.00267982895089836 0.00212154715245747 0.00200432429157618 0.00178274471376129 0.00274499435306798 0.00202256155870986 0.0224284821596336]
intento: 20 tiempo: 0.032 [0.0207712402030958 0.0017875308896988 0.00169074761643808 0.00154489209950756 0.00226595592323203 0.00180205035858465 0.00203326212335764 0.00142798617905252 0.00155269669087331 0.00171625838677171;0.0017875308896988 0.0216297949119259 0.00211243488198154 0.00195400077557542 0.00202660287443009 0.00247125854460416 0.00204793992707371 0.00227060560510707 0.00246470219169388 0.00219357472059327;0.00169074761643808 0.00211243488198154 0.021684738284682 0.00213054916964952 0.00252035346495416 0.00265095259876378 0.00186577151839187 0.00213591395871105 0.00215992252873692 0.00222266524250195;0.00154489209950756 0.00195400077557542 0.00213054916964952 0.021065488587759 0.00242011376122092 0.00229556272407945 0.0022575867523838 0.00243120052499755 0.00190402220249909 0.00232164109512409;0.00226595592323203 0.00202660287443009 0.00252035346495416 0.00242011376122092 0.0218925645472631 0.00192328723095775 0.00248058633695472 0.00253640088007912 0.00249037244897603 0.00240173407896274;0.00180205035858465 0.00247125854460416 0.00265095259876378 0.00229556272407945 0.00192328723095775 0.0216494687142468 0.00248571665341285 0.00197517761170916 0.00239486104566287 0.00204259337588982;0.00203326212335764 0.00204793992707371 0.00186577151839187 0.0022575867523838 0.00248058633695472 0.00248571665341285 0.0215867323881055 0.00225426950721302 0.00204009164788361 0.00177656993062;0.00142798617905252 0.00227060560510707 0.00213591395871105 0.00243120052499755 0.00253640088007912 0.00197517761170916 0.00225426950721302 0.0222214014335898 0.0022008499457933 0.002254945789855;0.00155269669087331 0.00246470219169388 0.00215992252873692 0.00190402220249909 0.00249037244897603 0.00239486104566287 0.00204009164788361 0.0022008499457933 0.0214363757285695 0.00260842948862364;0.00171625838677171 0.00219357472059327 0.00222266524250195 0.00232164109512409 0.00240173407896274 0.00204259337588982 0.00177656993062 0.002254945789855 0.00260842948862364 0.0215631179927906]
